Date,Jan 20,Feb 20,Mar 20,Apr 20,May 20,Jun 20,Jul 20,Aug 20,Sep 20,Oct 20,Nov 20,Dec 20,Jan 21,Feb 21,Mar 21,Apr 21,May 21,Jun 21,Jul 21,Aug 21,Sep 21,Oct 21,Nov 21,Dec 21,Jan 22,Feb 22,Mar 22,Apr 22,May 22,Jun 22,Jul 22,Aug 22,Sep 22,Oct 22,Nov 22,Dec 22,Jan 23
Latvia,0,0,0,10,15,0,64,22,24,0,64,0,34,83,1020,1482,553,0,2193,0,115,0,2,961,1908,5047,0,23,0,61,4805,0,0,0,0,0,0
Lebanon,0,0,0,0,11,0,4,0,0,0,4,0,4,25,2,0,17,0,28,926,0,0,60,4,113,1,295,0,45,190,601,251,0,0,0,0,217
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,5,0,0,0,0,166,30,0,0,33,0,19,0,0
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,33,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
Libya,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,12,0,0,0,0,1,33,0,0,0,0,4,9,22,0,0,0,0,0
Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,3,13,23,4,3,7,5,50,4,21,61,276,174,21,407,214,103,53,3,165,92,62,93,69,31
Lithuania,0,0,1,0,2,0,0,0,47,41,69,0,98,776,1490,3924,3730,3370,367,2421,2754,2308,1650,2768,4798,2996,2588,3066,1270,0,0,0,0,10,0,375,152
Luxembourg,0,0,10,223,24,14,0,0,0,0,0,1747,307,900,1384,1335,1827,1362,3039,618,0,2858,1930,1708,3554,2658,2,2,10058,1272,3872,3261,1496,2945,2154,488,1624
Macao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Madagascar,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,116,0,0,0,379,221,0,0,67,3,0,0,0,0,0,86,0,0,0,0,0,0
Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,210,0,142,33,42,30,207,150,0,203,27,0,0,1,0,58,0,0,0,117
Malaysia,0,3,10,6,2,9,76,5,7,5,2,170,26,70,85,103,168,585,217,356,1122,1289,1346,1799,1268,786,2303,4158,2899,1995,1466,3228,2728,1867,2451,2502,981
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,158,100,307,149,199,142,85,0,50,0,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,21,0,0,0,0,1,2,0,0,0,0,12,0,0,35,1,0,0,1,1,0,0,0,0,0,0,99,48,0,0,0
Malta,0,0,0,0,0,0,0,0,0,10,0,3,1,1,0,0,189,31,64,0,0,0,0,352,238,47,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,11,0,1,2,0,0
Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,3,12,72,195,200,79,129,185,92,109,697,1149,228,201,103,147,28,17,45,70,50
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,7,0,0,0,0,0,0
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,102,50,28,57,22,19,96,87,275,180,331,306,685,325,526,695,765,251,369,391,549
Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,73,477,171,0,11,5,1,13,9,5,52,19,76,54,42,17,3,21,76,55,41,6,0,32,0
Mexico,0,0,1,16,12,0,81,40,0,23,135,44,273,825,2866,2437,2900,3820,5522,4891,5776,4005,5406,4383,5533,5769,3161,1258,1462,3458,5362,5309,2059,1731,1784,1237,536
Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,8,20,0,6
Moldova,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,24,16,15,0,0,93,32,33,246,70,0,64,0,36,16,0,0,96,60
Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,18,18,14,20,2,0,7,0,0,12,0,1,2,0,1,0,0,0,0,0
